artTitle,artContent
房屋遭地震毀損 財部：房屋稅紅單免徵、黃單減半,"為協助花蓮地震災民，財政部責成稅捐機關主動協助申辦各項稅捐減免。（記者鄭琪芳攝）

〔記者鄭琪芳／台北報導〕財政部表示，為加強對花蓮地震受災民眾及企業提供必要協助，已責成稅捐機關秉持從寬、從速原則，主動協助受災民眾及企業申辦各項稅捐減免，北區國稅局及花蓮縣地方稅務局並於震災發生當日成立「災害減免勘查服務小組」，加強對花蓮縣災區受災民眾及企業提供必要協助。

財政部表示，顧及災區納稅人不便及困難，主動協助受災民眾及企業申辦災害損失稅捐減免，包括：主動視營業人實際營業情形，覈實調減查定銷售額及營業稅額；依監理機關通報受損車輛報停或報廢資料，主動辦理減免使用牌照稅；就轄內查定課徵娛樂稅業者，依停止營業期間或使用設施縮減主動辦理核減娛樂稅。

請繼續往下閱讀...

另，房屋稅方面，依各縣市張貼的受損房屋危險標誌「紅、黃單」資料，主動辦理減免房屋稅，「紅單」自今年4月起免徵，「黃單」自4月起減半課徵。至於地價稅，依各縣市張貼的受損房屋危險標誌「紅單」資料，就該屋坐落的土地，主動辦理減免2024年地價稅。

財政部並指出，民眾因地震產生的災害損失，經國稅局審核認定者，可於申報2024年度綜所稅時列報災害損失列舉扣除額（須減除保險賠償及救濟金），自當年度綜合所得總額中減除且無限額規定。

為使災害損失報備程序更簡化，財政部各地區國稅局提高個人申報災害損失書面審核標準，將得書面審核金額由15萬元提高至30萬元，免派員實地勘查，並增訂「重大災害地區」災害損失申報時間得延長為3個月以上，非屬重大災害地區，稅捐機關也可視轄區災害狀況及稽徵人力比照延長，國稅局於受理後將儘速審核認定。

此外，受災民眾及企業因受地震影響致無法於規定繳納期間內繳清稅捐者，可於規定納稅期間內，向稅捐機關申請延期或分期繳納，免加計利息，最長可延期1年或分期3年（36期）。

財政部提醒，納稅人可多加利用財政部稅務入口網（https://www.etax.nat.gov.tw）線上申請稅捐減免，如對於災害損失稅捐減免之規定或申報方式有不明瞭的地方，可至財政部網站災害協助專區（https://gov.tw/9eD）查詢、就近向稅捐機關詢問、或撥打免費服務專線「0800-000-321」。

一手掌握經濟脈動 點我訂閱自由財經Youtube頻道

不用抽 不用搶 現在用APP看新聞 保證天天中獎 點我下載APP 按我看活動辦法"
花蓮強震》公路局搶修蘇花公路 目前預警封閉3處、災阻7處,"2024/04/04 12:05


 403花蓮地震造成多處省道中斷毀損，交通部公路局持續搶修中。圖為台11線35.5K山壁崩塌造成道路封閉。（豐濱鄉公所提供）

首次上稿 06:57 更新時間 12:05〔記者吳柏軒／台北報導〕403花蓮地震規模7.2，造成東部花蓮地區最大震度，如花蓮縣和平達6強等級，並造成東部交通中斷，以蘇花公路等最慘，交通部公路局與當地派員持續搶修，並滾動式更新道路災阻情況，目前仍預警性封閉3處路段，還有8處斷橋、坍方、落石等待搶通，災情路段增為7處。公路局與第一線持續搶修，到今上午11點，預警性封閉路段有3處，包含：（1）宜蘭蘇澳鎮至花蓮縣秀林鄉台9線104K至168K（蘇澳至崇德路段），目前104K至155K（蘇澳至和仁路段）僅供救災人員通行及民生用品運送。（2）宜蘭蘇澳鎮至花蓮縣秀林鄉台9丁線2K至69K（蘇澳至崇德路段），目前2K至65.5K（蘇澳至和仁路段）僅提供運送民生用品、當地住戶、救災人員通行。（3）花蓮縣秀林鄉台8線110.2K至187.8K（大禹嶺至太魯閣路段），僅供救災人員通行及民生用品運送，視情況開放通行。其他災阻路段共7處：（1）花蓮縣秀林鄉台9線158K+600（下清水橋長度25M）落橋阻斷，預計6日18時搶通先供小型車通行。（2）台中市和平區台8線臨37便道6K+8~23K中橫便道，13處邊坡坍方全車道封閉阻斷，預計6日18時搶通。（3）花蓮縣秀林鄉台8線141K+100~141K+200（慈恩路段）落石坍方，雙向阻斷，預計4日20時搶通。（4）花蓮縣秀林鄉台8線148K+300（華祿溪路段）落石坍方，雙向阻斷，預計6日18時搶通。（5）花蓮縣秀林鄉台8線158K（豁然亭路段）落石坍方，雙向阻斷，搶修勘災困難，一旦勘災確認災情，將立即揭露搶修資訊。（6）花蓮縣秀林鄉台8線169K+100（天祥隧道西口）落石坍方，雙向阻斷，預計4日14時搶通。（7）花蓮縣秀林鄉台8線172K（九曲洞路段）落石坍方，預計4日10時搶通。至於災情路段7處：（1）花蓮縣秀林鄉台9線148.5K（和中路段）路面坑洞。（2）花蓮縣秀林鄉台9線154.5K至154.7k（和仁路段）路面開裂。（3）宜蘭縣南澳鄉台9丁線50.2K至50.3K （漢本路段）路面損壞。（4）花蓮縣秀林鄉台9丁線62.4K至63K （和仁隧道）隧道壁磁磚石塊剝落。（5）花蓮縣秀林鄉台9丁線65.1K（和仁路段）路面開裂。（6）花蓮縣壽豐鄉台11線8.4K至9K（鹽寮路段）路面開裂，單線雙向通行。（7）花蓮縣豐濱鄉台11線28K（牛山路段）上下線路段路面開裂，單線雙向通行。公路局呼籲用路人，地震過後山區道路易發生坍方、落石，路況難以掌握，如非必要請勿進入山區道路，並請隨時注意公路資訊看板，也可利用智慧化省道即時交通資訊服務網（http://168.thb.gov.tw）、幸福公路APP等，或注意公路總局道路訊息及警廣訊息，及時規劃行程。"
提振花蓮觀光 5月起推加倍券、振興券,"2024/04/19 05:30


 經濟部針對花蓮商圈、夜市推動產業振興，將推出100元換200券的「好市加倍券」、住宿證明換100元券的「夜市振興券」，使用期間為5到8月。 （記者鍾麗華攝）

〔記者鍾麗華／台北報導〕四月三日花蓮強震重創觀光產業，平均住房率去年有三成多，目前降至一成，經濟部表示，針對花蓮商圈、夜市推動產業振興方案，下月起將陸續推出一百元換二百元券的「好市加倍券」、住宿證明換一百元券的「夜市振興券」，使用期間為五到八月。兩階段刺激民眾消費經濟部、交通部等部會昨在行政院院會報告「○四○三花蓮地震災後復原重建工作」，經濟部指出，將分兩階段推出適用於東大門夜市的「好市加倍券」以及「夜市振興券」，刺激民眾消費。第一階段，針對東大門夜市發放「好市加倍券」，民眾可以拿一百元換券，買到二百元商品，實施日期從五月到七月，總共發一萬八千四百份，總計編列公務預算二百萬元。第二階段則推出「夜市振興券」，只要有近三天有住宿證明，可以到東大門夜市領取，額度一百元，只有八月適用，兩百萬元的經費由公務預算支應。另外，將針對四大商圈行銷方案提供約兩百萬元的補助，每個商圈最多五十萬元。經濟部表示，將攜手花蓮縣政府協助花蓮百年老街商圈、鯉魚潭商圈、石藝大街商圈及花蓮形象商圈等，結合暑假帶動國旅人潮，預計五月至十月辦理主題行銷，以活絡在地產業經濟。根據觀光署調查，花蓮平均住房率去年有三成多，目前降至一成，交通部次長陳彥伯昨在行政院會後記者會表示，觀光署正研擬三項振興觀光方案，受災戶可媒合安置住在觀光旅館或民宿，交通部會補貼旅宿業者；另還有觀光業者融資補貼方案。陳彥伯說，振興旅遊方案會朝自由行、團客或是境外包機獎勵等，結合台鐵推出Taiwan Pass補助，整體方案由觀光署研議中，後續行政院會召開會議討論，定案後對外界說明。"
花蓮地震加開航班疏運1188人 金門今霧散加緊ACB疏運計畫,"2024/04/04 20:22


 金門航班在濃霧散去後陸續恢復，台北國際航空站加派人手引導旅客登機。（民航局提供）

〔記者吳柏軒／台北報導〕今天（4日）是清明連假第一天，金門機場昨天因為濃霧全天停航，今天終於霧散，交通部民航局啟動ABC計畫，亦有海運、軍機皆投入支援疏運，協助近1600多人。另外，昨天花蓮7.2地震，民航局也緊急協調航空公司加開班機，昨、今2天共輸運1188人次。民航局說，昨天的大地震導致花蓮、宜蘭間鐵公路中斷，緊急協調航空公司加開班機，2天下來，共疏運近1188名旅客。民航局花蓮航空站主任林國勇說，昨晚有50多名旅客來不及離開花蓮，民航局長何淑萍特別指示開放航站大廳讓旅客休息，並要求航站準備點心與飲水提供給旅客，滯留旅客今天上午已經全數搭機離開。交通部次長林國顯今天也特地趕往花蓮機場，慰問航站同仁與航空公司員工。林國顯說，地震在清明連假的疏運期間發生，讓航空公司在非常吃緊的運能中「擠」出加班機，真的非常不容易，全程也都善盡服務旅客的責任，他要代表交通部感謝大家。而金門昨天受濃霧影響，航班全數取消，不僅要返鄉掃墓的民眾行程延誤，要離島的遊客也被迫滯留。民航局昨天已經先啟動B計畫，利用海運疏運旅客，今天濃霧退去，除了B計畫繼續執行，A計畫的加班機與C計畫的軍機，也都投入疏運。民航局統計，A計畫加開的空運航班，至今晚7點40分，國內線疏運約1萬5千人次。B計畫在昨日與今日共支援5航次船班，搭載旅客近1400人次。而C計畫在國防部協助下，今也支援5架次軍機，分別自台北、高雄起飛，疏運350人次。#

 民間航空公司協助花蓮7.2地震後的旅客疏運，交通部次長林國顯（中）今天前往花蓮機場，向航空公司人員表達感謝。（民航局提供）"
花蓮強震》桃園市長張善政捐一個月所得賑災,"2024/04/04 22:08


 桃園市長張善政今晚發文宣布將捐出一個月所得，用於賑濟花蓮地震的救災與重建。（擷取自桃園市長張善政臉書粉絲專頁）

〔記者陳璟民／桃園報導〕花蓮縣發生芮氏規模7.2強震，屋毀路段、人員傷亡等災情重大，桃園市長張善政今晚在臉書發文說，「此刻我們的心，都與花蓮在一起」，他將捐出一個月所得，協助花蓮的救災與重建。張善政寫道，他與花蓮有很深的淵源，花蓮美麗的風景、熱情的鄉親，使他常牽掛著花蓮；他呼籲，大家一起為花蓮加油，祈求一切平安，也希望花蓮鄉親的生活，儘快恢復正常。張善政還分享賑災捐款帳戶的資訊，「花蓮縣重大災害民間賑災捐款專戶」，戶名「臺灣銀行花蓮分行」，捐款帳號「018-038-098-191」。"
中央賑災專戶近8.8億 林榮三慈善基金會等大筆捐款陸續入帳,"2024/04/14 10:00


 0403花蓮強震造成災情，中央賑災專戶至今已湧入14萬筆捐款，累計金額近8.8億元。圖為地震中受災傾倒的花蓮市天王星大樓。（資料照）

〔記者林惠琴／台北報導〕衛福部轄下公設財團法人賑災基金會公布，因應花蓮地震4月4日起陸續開放銀行匯款、集資平台、LINE Pay及四大超商機台等管道接受外界捐款，截至今（14）日上午7點，已湧入14萬筆捐款，累計金額已近8.8億元。其中，較大筆捐款有：嘉里大榮物流大股東台灣嘉里投資（同屬馬來西亞郭氏集團）4000萬元，以及財團法人林榮三慈善基金會偕自由時報、瓏山林房產、聯邦商銀捐款合計3000萬元，還有日商SMC CORPORATION也捐贈日幣8000萬元（折合新台幣約1673萬餘元）、國泰世華銀行及國泰產險合計1500萬元等。賑災基金會表示，林榮三慈善基金會偕自由時報、瓏山林房產、聯邦商銀捐款，協助受影響民眾重建以及儘速恢復正常生活，希望善盡企業社會責任，並發揮拋磚引玉之效，邀請各界同心齊力，一起投入災區救援。根據賑災基金會公布最新的分項統計，分別收到台灣土地銀行帳戶7億2041萬2957元、挖貝集資平台專案5032萬1228元、LINE Pay愛心捐款1億0788萬7600元，合計8億7862萬餘元。至於4月9日起四大超商皆可使用機台捐款，但因各家統計時間有作業上差異，後續將於每週一統計前週金額，再一併計入。賑災基金會表示，近日有許多民眾來電詢問收據相關事宜，因目前仍在持續募款，收據及感謝狀將於募款結束後寄出，民眾如要索取收據，要請提供下列捐款證明：1.匯款：請捐款人提供捐款證明（臨櫃捐款收執聯、ATM收據）敘明捐款人姓名（收據抬頭） 、電話及收據寄送地址，以傳真 （02-8912-7638） 或 Email （admin@tf4dr.org）方式提供。2.線上刷卡：線上操作時，請於「請填入捐款收據抬頭」及「請填入身分證字號／統一編號」填寫資料，並於後續頁面填寫收件人完整地址。3.外幣或國外匯款提供捐款證明（臨櫃捐款收執聯、ATM 收據）敘明捐款人姓名（收據抬頭）、電話以 Email（admin@tf4dr.org）方式提供，不另提供紙本收據。4.四大超商（7-Eleven、全家、萊爾富、OK）門市捐款的民眾，勾選「索取捐款收據」填妥相關資料。賑災基金會也提醒捐款民眾注意，填寫個人資訊時請確認身分證字號／統一編號、姓名、地址是否有誤，如有誤可能無法正確收到收據，該基金會將依收到資料，統一於募款結束後開始收據作業。另外，賑災基金會指出，民眾、企業的捐贈於報稅時也能作為所得稅扣除額，但應注意捐款申報時間，如今年5月申報所得稅時，還不能將今年捐贈花蓮震災金額列為扣除額，必須等到明年5月、申報今年所得稅時才能扣除，不須擔心趕不及今年5月繳稅。因民眾愛心十分踴躍，需要時間及人力作業，要請耐心等候及見諒。"
IU人在台灣發文了！柯震東現身演唱會掀騷動,"不少粉絲在IU演唱會遇到柯震東。（讀者提供）

〔記者廖俐惠／台北報導〕韓星IU昨天（6日）在小巨蛋舉行世界巡迴台北場演唱會，兩天吸引超過2萬人到場朝聖，連柯震東都現身，在IU演唱會結束後竟更意外掀起騷動，不少人更找他拍照。

柯震東現身IU演唱會，不少粉絲要求與他合照。（讀者提供）

IU昨天3小時唱好唱滿，獻唱超過20首新歌、經典曲，還準備中文歌、告五人的《唯一》，讓歌迷聽得如癡如醉。IU這次在首場唱到二次安可，在最後一首歌時卻表示想要自己點歌，最後脫帽獻唱《Love Poem》。

請繼續往下閱讀...

在IU下台後，大銀幕才出現3種語言寫下的地震慰問文，「衷心向花蓮地震遇難者的家屬表達深切的哀悼，也向所有為了這次地震，全力以赴善後的人們，致以感謝與支持。」讓全場粉絲感動鼓掌，現場十分溫馨。

IU與台灣粉絲留下合影。（翻攝自X）

IU拿著台灣粉絲準備的手幅拍照。（翻攝自X）

IU事在演出結束後，於X上分享認證照，有著粉絲準備的手幅應援，上面寫著「看到了嗎？5年後的我們有多可愛」，還有最後的大合照，全場粉絲亮起手燈，與比著愛心的IU合影，看起來十分壯觀美麗。

自由娛樂頻道脆脆好友大募集，手刀加入脆脆小圈圈

來嘛來嘛，一起來廢話聊天或開壇問事吧

娛樂頻道臉書粉絲團:點這裡

娛樂頻道有IG囉:點這裡

不用抽 不用搶 現在用APP看新聞 保證天天中獎 點我下載APP 按我看活動辦法"
花蓮地震日企慷慨解囊 大和證券捐1000萬日圓賑災,"日本大和證券集團宣布將捐款1000萬日圓給花蓮賑災使用。（彭博）

吳孟峰／核稿編輯

〔財經頻道／綜合報導〕台灣花蓮4月3日上午發生芮氏規模7.2強震，導致當地災情嚴重，日本大和證券集團週二（9日）宣布捐款1000萬日圓（約台幣211.2萬）做為此次賑災使用，地震發生至今，日本跨界募款的金額已突破新高，從政府到民間，從企業到個人，已有不少人加入支援台灣的重建工作。

外媒報導，台灣花蓮發生芮氏規模7.2強震發生後，造成多人重傷、死亡，當地房屋坍塌、傾斜驚心動魄，引發日本各界關注，據了解，日本搖滾天團X JAPAN團長YOSHIKI上週四（4日）已捐1000萬日圓（約台幣211.2萬）給中華民國紅十字會幫助災民，而日本全家與日本國內地區加盟公司，目前已在全日本約1萬6300家全家便利商店設置捐款箱募款，展開為期2週的募款。

請繼續往下閱讀...

另外，地震發生後兩日，日本外務省宣布捐贈100萬美元（約台幣3206.5萬）協助台灣災後重建，日本民間捐款也持續湧入，日本企業也慷慨解囊，其中日本大和證券集團宣布捐款1000萬日圓（約台幣211.2萬），做為此次賑災使用，向所有遇難者致上深切哀悼，並向受難者家屬表達誠摯慰問，充分展現台日之間相互扶持珍貴情誼。

一手掌握經濟脈動 點我訂閱自由財經Youtube頻道

不用抽 不用搶 現在用APP看新聞 保證天天中獎 點我下載APP 按我看活動辦法"
基隆中正路部分路面 地震後疑似地層下陷、房屋傾斜,"2024/04/09 16:50


 市議員許睿慈（中）與市府相關單位到中正路425號地基掏空問題。（許睿慈提供）

〔記者盧賢秀／基隆報導〕基隆中正路425號至447號間，去年發現水溝有下陷破洞情形，市府進場改善，但花蓮地震後，發現騎樓有裂縫、地基可能掏空，房屋也疑似傾斜，市議員許睿慈與市府相關單位勘查，要求儘速鑑定地基與房屋結構，讓居民可以住得安心且安全。 市府表示，經技師鑑定房屋結構目前安全的，工務處將加強下水道巡檢補強。市議員許睿慈指出，居民去年陳情，舊漁會大樓附近的中正路425號前道路旁水溝，有發生下陷、破洞的情形，經會勘後工務處已進場施作。但日前卻發現騎樓裂縫與地基掏空狀況，令附近住戶人心惶惶。許睿慈與議長童子瑋秘書與市府工務處等相關單位今至現場會勘。許睿慈表示，花蓮地震後，427號至447號沿線都發生了地層陷落，其中4戶騎樓有裂縫，居民地下室也出現滲水現象，擔憂地質結構是否安全，要求市府儘速完成房屋與地質安全檢測。市府工務處表示，該民宅鄰近海岸，可能因地震造成地下室牆面裂痕滲加，工務處將針對此處沿線下水道箱涵與附近地基加巡檢，確認中正路425號至447號沿線是否有地基掏空的問題。都發處表示，有請土木技師公會的技師前往勘查，初步認為沒有傾斜狀況，騎樓裂縫區公所近期就會整修。

 基隆中正路下水道改善工程，發現有下陷破洞現象。（許睿慈提供）


 花蓮地震後中正路245號有4戶民宅騎樓裂縫。（記者盧賢秀攝）"
花蓮強震》高鐵今13時前所有車次取消 加開全車自由座車次疏運,"2024/04/03 11:02


 高鐵受到今早花蓮地震影響降級運轉，今13時前原班次取消，並加開全車自由座疏運，目前高鐵月台有大批旅客正等候加開自由座班次。（民眾提供）

〔記者陳嘉怡／台北報導〕今（3）日上午花蓮發生規模7.2地震，高鐵受地震影響，宣布自11時至13時間，改以每20分鐘自南港站及左營站，分別發出一班全車自由座列車（第六節商務車廂除外），疏運旅客，上述時段原時刻表各車次取消。高鐵公司表示，此次地震高鐵受影響路段超過275公里，且部分路段測得3級地震告警，依台灣高鐵地震應變標準作業程序須降級運轉，目前巡檢作業仍在持續進行中，敬請旅客耐心等候。"
花蓮強震》關西石牛山地標被震裂了？ 議員稱地方還沒人實地查看,"2024/04/03 15:16


 新竹縣關西鎮知名石牛山的地標疑似因為花蓮地震而被震裂。（取自網路）

〔記者黃美珠／新竹報導〕新竹縣關西鎮知名石牛山的地標，今天下午傳出被早上的花蓮地震給震爆了，峰頂遠近馳名、狀似一頭巨牛臥姿的巨石崩裂的畫面在網路上各大登山社團瘋傳，當地縣議員羅仕琦說他向里長林保國求證，林保國說「係金A」，但是地方上還沒有人實際上去或派出無人機上去查看，他也難以置信。不過根據PO文的鍾先生說，強震當下他剛好在爬石牛山，沒想到攻頂時卻發現刻有名字的巨石地標被震裂成兩半，他也嚇壞了，後來回憶只覺得「好險安全下山」。這座石牛山就位在新竹關西跟桃園復興交界處，海拔雖僅約671公尺，但是地形多變，挑戰和趣味性兼具，很受廣大山友歡迎，就連歌手團體SHE也曾在牛年的元旦攻頂慶祝元旦的到來，是知名的台灣小百岳之一。轄區派出所新埔警分局錦山所表示，他們也是從網路上看到石牛被震爆的消息，因是網路訊息，並未收到相關或是需要援助的報案，他們也無法確認。照片曝光後，網路鄉民們紛紛遺憾留言說：以後要改名半牛山了、地震的威力真太可怕了、石牛山炸裂了、沒挺住的石牛，一片哀悼。

 新竹縣關西鎮知名石牛山的地標疑似因為花蓮地震而被震裂。（取自網路）


 新竹縣關西鎮石牛山一直是熱門的小百岳之一。（資料照）


 新竹縣關西鎮的知名小百岳地標巨石疑被地震震裂了。（錦山社區總幹事陳文廣提供）


 新竹縣關西鎮的知名小百岳地標巨石疑被地震震裂了。（錦山社區總幹事陳文廣提供）"
清明連假首日國1、國3南向湧現車潮 上午避10壅塞路段,"2024/04/04 09:27


 今日國道交通疏導措施。（高公局提供）

〔記者陳嘉怡／台北報導〕今天清明節連假首日，許多民眾都規劃出遊，今晨國道1號、3號南向共6路段，已出現時速低於40公里的壅塞情形，高公局預估中午過後會陸續暢通；高公局預估，今日上午國道共有10處重點壅塞路段，建議西部國道南向用路人儘量於12時後出發；國5南向用路人儘量於17時後出發。高公局表示，今日國道於凌晨4時起即有車流湧入，國1南向幼獅至新竹、台中至彰化；國3南向中和至高原、新竹系統至竹南、沙鹿至和美、中興系統至南投，都已出現時速低於40公里的壅塞情況，其餘路況大致順暢，預估中午12時過後壅塞路段會陸續暢通。高公局預估，今日上午重點壅塞路段為國1南向高架機場系統-楊梅端、楊梅-頭份、彰化系統-埔鹽系統，北向圓山-大華系統；國3南向中和-關西、後龍-苑裡、沙鹿-龍井、快官-名間；國5南向南港系統-頭城；國10東向鼎金系統-燕巢等路段。 高公局建議，西部國道南向用路人儘量於12時後出發；國5南向用路人儘量於17時後出發，並注意往花蓮相關道路封閉訊息。為紓緩國道壅塞情況，高公局今日規劃多項疏導措施，包含5-12時封閉國1平鎮系統、埔鹽系統及西螺南向入口；5-12時西部國道南向高乘載；增開國1南向楊梅-新竹、北向西螺-員林及國3南向大溪-關西、北向香山-新竹系統等易壅塞路段路肩。另因受0403花蓮地震影響，高速公路局預期國5旅次需求略降，取消國道5號4日及5日的石碇、坪林入口匝道封閉措施。

 高公局預估，今日上午國1南向高架機場系統-楊梅端、楊梅-頭份等路段的壅塞車流中午過後會陸續暢通。（高公局提供）"
遠傳送愛到花蓮 攜手同行守護家園,"花蓮震災後第一時間，遠傳於花蓮六家門市設置「關懷服務站」，期盼以溫暖的實際行動，為災區用戶盡一份心力。
花蓮震災後，餘震至今不斷，遠傳除第一時間在當地成立「關懷服務站」提供協助，也隨即啟動送愛到花蓮關懷計畫，包含旗下遠傳friDay購物宣布推出「送愛到花蓮」購物專區，不僅全區免運費，商家也免上架費、免成交費，邀請消費者以購買共同力挺花蓮在地商家。此外，災後建築物被判定為紅單遠傳大寬頻用戶，遠傳也提供３個月月租減免；因地震導致行動網路收訊障礙，也依受影響狀況，提供月租費減免。
遠傳也與「中華基督教救助協會」合作推出「591919」簡碼捐款，幫助花蓮地震受災戶災後重建；針對在震災中受創嚴重東華大學，遠傳除以資通訊核心能力協助校方建立遠距上課系統，也提供東華學生免費申請上網吃到飽專案，讓教學不中斷。
遠傳也邀請花蓮受災商家到遠傳台北辦公室實體擺攤，受到員工熱烈響應。
遠傳friDay購物「送愛到花蓮」消費力挺花蓮商家
災後花蓮觀光產業急凍，在地商家生計也受影響，遠傳friDay購物即日起成立【送愛到花蓮】購物專區，專區內商家皆來自花蓮受災地區，邀請民眾慷慨解囊振興購物、買到真材實料的花蓮好物，不僅全區免運費，５月31日前上架商家也免上架費、免成交費，協助花蓮商家共度難關。遠傳上週也率先邀請受災商家到遠傳台北辦公室實體擺攤，員工也熱烈響應。
遠傳friDay購物即起推出送愛到花蓮專區，不僅全區免運費，商家也免上架費、免成交費，邀請消費者以購買共同力挺花蓮在地商家。
【送愛到花蓮】專區：https://ecw.shopping.friday.tw/aipromotion/B24002445
遠傳friDay購物今年2月起就透過AI輔助商品上架，協助花蓮小農突破科技限制，輕鬆在網路開店，並設立【花蓮小農好物網】專區，已有逾50家商家加入，讓在地優秀農產品、伴手禮能突破地域限制，也減去通路層層利潤拆分，即日起該專區也同樣提供花蓮商家免上架費、免成交費措施。
啟動簡碼小額捐款協助災後救助 以資通訊核心能力助東華大學師生學習不中斷
遠傳關懷行動不間斷，遠傳花蓮６間門市（花蓮中正、花蓮吉安、花蓮中山、吉安中華、花蓮玉里、花蓮中華門市）災後第一時間就主動成立「關懷服務站」至今，不限遠傳用戶都可到門市免費充電、撥打緊急電話，也可借用行動電源、備用手機、傳輸線等，也主動協助災區民眾解決通訊問題。
遠傳也與「中華基督教救助協會」合作，啟動「591919」簡碼捐款，透過遠傳門號手機撥前述簡碼，就可進行小額捐款，善款將用來幫助花蓮地震災戶的家具補助、原鄉部落水塔或電視重置補助、慰問金、急難救助金補助、受災食物包救助、心靈關懷等。
另位於花蓮國立東華大學在本次震災受創嚴重，遠傳除啟動員工捐款協助東華大學重建，也啟動「學習不中斷」專案，協助校方安裝遠距上課系統，若東華大學學生因震災影響返家或校外住宿需採遠距上課者，遠傳也宣布提供該校學生免費「易付卡90日上網吃到飽的方案」，申請期間從即日起至5月31日止，可憑東華學生證至全台遠傳直營門市申辦。
同時遠傳也響應友愛教育事務基金會募集二手電腦到花蓮災區中小學公益活動，將協助捐出電腦設備應急，幫助當地師生恢復正常教學。
針對全台縣市政府災後建築物判定為紅單遠傳大寬頻用戶，遠傳將提供 3個月月租費用減免；另遠傳用戶如因地震導致收訊障礙，將按實際受影響情形，提供月租費扣減。
遠傳大寬頻、行動月租費災區減免 帳單暫緩催收
另遠傳也提供災區民眾月租費減免措施，如因地震導致行動網路收訊障礙，遠傳將依服務契約辦理，按實際受影響情形，提供月租費扣減，如有特殊情況依個案進行協助。另針對全台縣市政府災後建築物判定為紅單遠傳大寬頻用戶，遠傳也將提供 3個月月租費用減免，歡迎用戶持單申請。針對設籍花蓮以及帳單地址在花蓮的用戶，也暫緩帳單催收與延繳。
（專輯）"
健康網》震後心慌慌 營養師推6食物舒緩情緒,"2024/04/25 10:40


 營養師指出，牛奶中的鈣能放鬆肌肉、舒緩壓力，所含的色胺酸有製造快樂荷爾蒙血清素，改善大腦壓力的功效；圖為情境照。（圖取自freepik）

沈莉馨／核稿編輯〔健康頻道／綜合報導〕自4月3日花蓮地震以來，餘震不斷，讓人有錯覺「是不是一直在搖」，天天都繃緊神經，唯恐又發生大地震，甚至已經有很多人緊張到睡不好、精神狀態受影響，營養師高敏敏在臉書專頁「高敏敏 營養師」發文分享，6種可以幫助震後舒緩緊張情緒的食物：礦物質鈣鈣可以放鬆肌肉、舒緩壓力，建議補充牛奶、豆乾、豆皮、小魚乾、黑芝麻等，都是鈣質豐富的食物。礦物質鎂鎂可以說是天然的神經安定劑，能穩定神經，除此之外，也能提升睡眠品質。平常多吃綠葉蔬菜、紫菜、堅果、燕麥、香蕉，就能補充足夠的礦物質鎂。Omega-3脂肪酸Omega-3脂肪酸有減緩憂鬱、延緩腦部退化的功效，深海魚如鯖魚、秋刀魚、鮭魚、沙丁魚等，或藻油、亞麻仁油中，也有豐富的Omega-3脂肪酸。陽光維生素D缺乏維生素D時會焦慮、肌肉無力、骨質疏鬆，建議可以多補充蕈菇類、雞蛋，也可以多去戶外走走、曬曬太陽，在沒有陽光的日子，補充維生素D就用吃的吧！維生素B群維生素B群是維持神經系統運作，最重要的維生素，可以透過全穀類、肉類、深色蔬菜來補充，但最簡單的方式是，從各種食物的原型均衡攝取。色胺酸色胺酸能製造快樂荷爾蒙血清素，改善大腦壓力，牛奶、乳酪、香蕉中，都有豐富的色胺酸。

 營養師高敏敏。（高敏敏提供）"
捷運環狀線待修復 免費接駁營運費月增1500萬,"2024/04/27 19:13


 新北捷運環狀線中原站到板新站之間軌道因花蓮大地震導致有移位、錯開狀況，梁有「跑掉」，排水管也位移。（記者劉信德攝）

〔中央社〕新北捷運公司今天表示，捷運環狀線運量已漸回升至3萬餘人次。板新站至橋和站仍修復中，區間實施免費接駁公車，每月增新台幣1500萬元接駁費，將持續優化以乘客權益最大考量。環狀線橋和站至板新站，受0403花蓮地震影響，鋼箱梁錯位、軌道變形，營運中斷。目前分成第1階段（新北產業園區站至板橋站），及第2階段（中和至大坪林站）局部營運。新北捷運公司今天回應中央社記者詢問表示，地震前，平日運量約6萬餘人次，地震後，初期運量單日最低7000餘人次；經不斷優化運轉模式，運量已逐步回升至3萬餘人次。捷運公司說，26日起，新北產業園區站至板橋站間，平日上下午尖峰時段，固定各加發6列「點對點直達車」，預計運量會再增加。至於第3階段（中和－板橋）仍停駛，改以接駁公車疏導人流。捷運公司說，尖峰班距5分鐘，離峰20分鐘，班次仍持續調整優化。預估每月增加支出1500萬元許，目前由新北捷運公司墊付，費用尚未實際結算。至於接駁公車是否行駛至修復完畢，捷運公司說，接駁模式會視需求檢討，仍以民眾權益為最大考量。現階段以儘速完成第3階段修復、通車為最大目標。捷運公司今天說，目前修復作業，捷運工程單位已委託第三方公正鑑定，審查單位針對結構有無受損、復原設計及施工方案，進行審查後再據以施作，以確保安全無虞情形下，恢復通車。捷運工程局告訴記者，26日有召開第2次專家審查會議，包括鑑定與各種分析都同步進行，並將持續開會討論。市長侯友宜24日在議會施政報告時表示，究竟是設計、施工還是其它問題，目前都還在釐清責任，沒辦法這麼快。今年無法修好，預估最少要1年以上。"
